"","Allwyn","BLS","AREA","H_MEAN","A_MEAN","Year","PRIM_STATE"
"1","IT Project Manager I","Office Machine Operators, Except Computer",11260,"15.92","33,120","2010","AK"
"2","IT Project Manager I","Office Machine Operators, Except Computer",12220,"10.66","22,170","2010","AL"
"3","IT Project Manager I","Office Machine Operators, Except Computer",13820,"13.63","28,360","2010","AL"
"4","IT Project Manager I","Office Machine Operators, Except Computer",26620,"11.82","24,590","2010","AL"
"5","IT Project Manager I","Office Machine Operators, Except Computer",33660,"11.01","22,890","2010","AL"
"6","IT Project Manager I","Office Machine Operators, Except Computer",33860,"13.98","29,080","2010","AL"
"7","IT Project Manager I","Office Machine Operators, Except Computer",22220,"11.10","23,080","2010","AR"
"8","IT Project Manager I","Office Machine Operators, Except Computer",22900,"13.62","28,340","2010","AR"
"9","IT Project Manager I","Office Machine Operators, Except Computer",26300,"12.09","25,150","2010","AR"
"10","IT Project Manager I","Office Machine Operators, Except Computer",30780,"12.94","26,920","2010","AR"
"11","IT Project Manager I","Office Machine Operators, Except Computer",38060,"13.66","28,420","2010","AZ"
"12","IT Project Manager I","Office Machine Operators, Except Computer",46060,"14.86","30,900","2010","AZ"
"13","IT Project Manager I","Office Machine Operators, Except Computer",12540,"14.88","30,950","2010","CA"
"14","IT Project Manager I","Office Machine Operators, Except Computer",23420,"14.63","30,440","2010","CA"
"15","IT Project Manager I","Office Machine Operators, Except Computer",31084,"13.62","28,340","2010","CA"
"16","IT Project Manager I","Office Machine Operators, Except Computer",36084,"14.73","30,630","2010","CA"
"17","IT Project Manager I","Office Machine Operators, Except Computer",37100,"14.11","29,350","2010","CA"
"18","IT Project Manager I","Office Machine Operators, Except Computer",40140,"15.26","31,740","2010","CA"
"19","IT Project Manager I","Office Machine Operators, Except Computer",40900,"15.61","32,460","2010","CA"
"20","IT Project Manager I","Office Machine Operators, Except Computer",41500,"11.36","23,630","2010","CA"
"21","IT Project Manager I","Office Machine Operators, Except Computer",41740,"15.34","31,910","2010","CA"
"22","IT Project Manager I","Office Machine Operators, Except Computer",41884,"15.27","31,760","2010","CA"
"23","IT Project Manager I","Office Machine Operators, Except Computer",41940,"16.57","34,470","2010","CA"
"24","IT Project Manager I","Office Machine Operators, Except Computer",42044,"14.36","29,860","2010","CA"
"25","IT Project Manager I","Office Machine Operators, Except Computer",42060,"14.12","29,380","2010","CA"
"26","IT Project Manager I","Office Machine Operators, Except Computer",42100,"17.13","35,630","2010","CA"
"27","IT Project Manager I","Office Machine Operators, Except Computer",42220,"14.09","29,300","2010","CA"
"28","IT Project Manager I","Office Machine Operators, Except Computer",44700,"11.00","22,870","2010","CA"
"29","IT Project Manager I","Office Machine Operators, Except Computer",46700,"16.24","33,780","2010","CA"
"30","IT Project Manager I","Office Machine Operators, Except Computer",47300,"14.24","29,620","2010","CA"
"31","IT Project Manager I","Office Machine Operators, Except Computer",14500,"14.31","29,760","2010","CO"
"32","IT Project Manager I","Office Machine Operators, Except Computer",17820,"11.41","23,740","2010","CO"
"33","IT Project Manager I","Office Machine Operators, Except Computer",19740,"15.17","31,560","2010","CO"
"34","IT Project Manager I","Office Machine Operators, Except Computer",22660,"14.54","30,250","2010","CO"
"35","IT Project Manager I","Office Machine Operators, Except Computer",71950,"15.57","32,380","2010","CT"
"36","IT Project Manager I","Office Machine Operators, Except Computer",73450,"12.34","25,670","2010","CT"
"37","IT Project Manager I","Office Machine Operators, Except Computer",75700,"16.00","33,280","2010","CT"
"38","IT Project Manager I","Office Machine Operators, Except Computer",47894,"15.58","32,400","2010","DC"
"39","IT Project Manager I","Office Machine Operators, Except Computer",20100,"12.08","25,130","2010","DE"
"40","IT Project Manager I","Office Machine Operators, Except Computer",48864,"13.02","27,080","2010","DE"
"41","IT Project Manager I","Office Machine Operators, Except Computer",15980,"12.40","25,800","2010","FL"
"42","IT Project Manager I","Office Machine Operators, Except Computer",19660,"13.41","27,880","2010","FL"
"43","IT Project Manager I","Office Machine Operators, Except Computer",22744,"14.15","29,420","2010","FL"
"44","IT Project Manager I","Office Machine Operators, Except Computer",27260,"11.75","24,450","2010","FL"
"45","IT Project Manager I","Office Machine Operators, Except Computer",29460,"13.46","27,990","2010","FL"
"46","IT Project Manager I","Office Machine Operators, Except Computer",33124,"13.53","28,140","2010","FL"
"47","IT Project Manager I","Office Machine Operators, Except Computer",35840,"11.31","23,520","2010","FL"
"48","IT Project Manager I","Office Machine Operators, Except Computer",36740,"12.80","26,620","2010","FL"
"49","IT Project Manager I","Office Machine Operators, Except Computer",37340,"15.92","33,110","2010","FL"
"50","IT Project Manager I","Office Machine Operators, Except Computer",37860,"12.27","25,520","2010","FL"
"51","IT Project Manager I","Office Machine Operators, Except Computer",38940,"12.69","26,400","2010","FL"
"52","IT Project Manager I","Office Machine Operators, Except Computer",45220,"11.29","23,480","2010","FL"
"53","IT Project Manager I","Office Machine Operators, Except Computer",45300,"11.17","23,240","2010","FL"
"54","IT Project Manager I","Office Machine Operators, Except Computer",48424,"14.62","30,410","2010","FL"
"55","IT Project Manager I","Office Machine Operators, Except Computer",12020,"10.75","22,370","2010","GA"
"56","IT Project Manager I","Office Machine Operators, Except Computer",12060,"12.56","26,120","2010","GA"
"57","IT Project Manager I","Office Machine Operators, Except Computer",26180,"16.37","34,060","2010","HI"
"58","IT Project Manager I","Office Machine Operators, Except Computer",11180,"17.00","35,370","2010","IA"
"59","IT Project Manager I","Office Machine Operators, Except Computer",16300,"15.35","31,920","2010","IA"
"60","IT Project Manager I","Office Machine Operators, Except Computer",19340,"12.57","26,140","2010","IA"
"61","IT Project Manager I","Office Machine Operators, Except Computer",19780,"15.51","32,270","2010","IA"
"62","IT Project Manager I","Office Machine Operators, Except Computer",14260,"14.36","29,870","2010","ID"
"63","IT Project Manager I","Office Machine Operators, Except Computer",17660,"11.85","24,650","2010","ID"
"64","IT Project Manager I","Office Machine Operators, Except Computer",14060,"15.41","32,060","2010","IL"
"65","IT Project Manager I","Office Machine Operators, Except Computer",16974,"14.23","29,590","2010","IL"
"66","IT Project Manager I","Office Machine Operators, Except Computer",29404,"14.65","30,460","2010","IL"
"67","IT Project Manager I","Office Machine Operators, Except Computer",44100,"19.29","40,130","2010","IL"
"68","IT Project Manager I","Office Machine Operators, Except Computer",21780,"12.23","25,440","2010","IN"
"69","IT Project Manager I","Office Machine Operators, Except Computer",23060,"12.82","26,670","2010","IN"
"70","IT Project Manager I","Office Machine Operators, Except Computer",23844,"12.31","25,610","2010","IN"
"71","IT Project Manager I","Office Machine Operators, Except Computer",26900,"14.52","30,190","2010","IN"
"72","IT Project Manager I","Office Machine Operators, Except Computer",29140,"11.71","24,360","2010","IN"
"73","IT Project Manager I","Office Machine Operators, Except Computer",11260,"15.35","31,920","2011","AK"
"74","IT Project Manager I","Office Machine Operators, Except Computer",12220,"10.92","22,710","2011","AL"
"75","IT Project Manager I","Office Machine Operators, Except Computer",13820,"14.99","31,190","2011","AL"
"76","IT Project Manager I","Office Machine Operators, Except Computer",26620,"11.74","24,420","2011","AL"
"77","IT Project Manager I","Office Machine Operators, Except Computer",33660,"10.41","21,650","2011","AL"
"78","IT Project Manager I","Office Machine Operators, Except Computer",33860,"12.57","26,150","2011","AL"
"79","IT Project Manager I","Office Machine Operators, Except Computer",22220,"11.86","24,670","2011","AR"
"80","IT Project Manager I","Office Machine Operators, Except Computer",22900,"13.43","27,920","2011","AR"
"81","IT Project Manager I","Office Machine Operators, Except Computer",26300,"11.72","24,380","2011","AR"
"82","IT Project Manager I","Office Machine Operators, Except Computer",30780,"14.22","29,590","2011","AR"
"83","IT Project Manager I","Office Machine Operators, Except Computer",38060,"14.77","30,720","2011","AZ"
"84","IT Project Manager I","Office Machine Operators, Except Computer",46060,"13.26","27,580","2011","AZ"
"85","IT Project Manager I","Office Machine Operators, Except Computer",12540,"16.66","34,640","2011","CA"
"86","IT Project Manager I","Office Machine Operators, Except Computer",23420,"13.96","29,030","2011","CA"
"87","IT Project Manager I","Office Machine Operators, Except Computer",31084,"14.38","29,900","2011","CA"
"88","IT Project Manager I","Office Machine Operators, Except Computer",36084,"14.91","31,020","2011","CA"
"89","IT Project Manager I","Office Machine Operators, Except Computer",37100,"15.38","31,990","2011","CA"
"90","IT Project Manager I","Office Machine Operators, Except Computer",40140,"15.76","32,770","2011","CA"
"91","IT Project Manager I","Office Machine Operators, Except Computer",40900,"15.90","33,080","2011","CA"
"92","IT Project Manager I","Office Machine Operators, Except Computer",41740,"15.02","31,240","2011","CA"
"93","IT Project Manager I","Office Machine Operators, Except Computer",41884,"15.54","32,330","2011","CA"
"94","IT Project Manager I","Office Machine Operators, Except Computer",41940,"14.67","30,510","2011","CA"
"95","IT Project Manager I","Office Machine Operators, Except Computer",42044,"14.11","29,350","2011","CA"
"96","IT Project Manager I","Office Machine Operators, Except Computer",42060,"14.94","31,070","2011","CA"
"97","IT Project Manager I","Office Machine Operators, Except Computer",42100,"15.76","32,780","2011","CA"
"98","IT Project Manager I","Office Machine Operators, Except Computer",42220,"17.11","35,590","2011","CA"
"99","IT Project Manager I","Office Machine Operators, Except Computer",44700,"11.85","24,650","2011","CA"
"100","IT Project Manager I","Office Machine Operators, Except Computer",46700,"15.71","32,680","2011","CA"
"101","IT Project Manager I","Office Machine Operators, Except Computer",47300,"14.48","30,120","2011","CA"
"102","IT Project Manager I","Office Machine Operators, Except Computer",14500,"12.26","25,510","2011","CO"
"103","IT Project Manager I","Office Machine Operators, Except Computer",17820,"12.63","26,270","2011","CO"
"104","IT Project Manager I","Office Machine Operators, Except Computer",19740,"14.34","29,820","2011","CO"
"105","IT Project Manager I","Office Machine Operators, Except Computer",22660,"15.00","31,200","2011","CO"
"106","IT Project Manager I","Office Machine Operators, Except Computer",71950,"18.27","38,010","2011","CT"
"107","IT Project Manager I","Office Machine Operators, Except Computer",73450,"14.23","29,600","2011","CT"
"108","IT Project Manager I","Office Machine Operators, Except Computer",75700,"17.38","36,140","2011","CT"
"109","IT Project Manager I","Office Machine Operators, Except Computer",47894,"17.47","36,330","2011","DC"
"110","IT Project Manager I","Office Machine Operators, Except Computer",20100,"12.40","25,800","2011","DE"
"111","IT Project Manager I","Office Machine Operators, Except Computer",48864,"12.31","25,600","2011","DE"
"112","IT Project Manager I","Office Machine Operators, Except Computer",15980,"11.97","24,900","2011","FL"
"113","IT Project Manager I","Office Machine Operators, Except Computer",19660,"13.69","28,470","2011","FL"
"114","IT Project Manager I","Office Machine Operators, Except Computer",22744,"13.00","27,030","2011","FL"
"115","IT Project Manager I","Office Machine Operators, Except Computer",27260,"12.46","25,910","2011","FL"
"116","IT Project Manager I","Office Machine Operators, Except Computer",29460,"13.68","28,450","2011","FL"
"117","IT Project Manager I","Office Machine Operators, Except Computer",33124,"13.47","28,020","2011","FL"
"118","IT Project Manager I","Office Machine Operators, Except Computer",35840,"12.04","25,050","2011","FL"
"119","IT Project Manager I","Office Machine Operators, Except Computer",36740,"13.29","27,640","2011","FL"
"120","IT Project Manager I","Office Machine Operators, Except Computer",37340,"12.06","25,090","2011","FL"
"121","IT Project Manager I","Office Machine Operators, Except Computer",38940,"11.67","24,280","2011","FL"
"122","IT Project Manager I","Office Machine Operators, Except Computer",45220,"11.69","24,310","2011","FL"
"123","IT Project Manager I","Office Machine Operators, Except Computer",45300,"12.74","26,500","2011","FL"
"124","IT Project Manager I","Office Machine Operators, Except Computer",48424,"14.36","29,870","2011","FL"
"125","IT Project Manager I","Office Machine Operators, Except Computer",12020,"10.97","22,810","2011","GA"
"126","IT Project Manager I","Office Machine Operators, Except Computer",12060,"14.36","29,860","2011","GA"
"127","IT Project Manager I","Office Machine Operators, Except Computer",12260,"15.84","32,940","2011","GA"
"128","IT Project Manager I","Office Machine Operators, Except Computer",26180,"17.47","36,350","2011","HI"
"129","IT Project Manager I","Office Machine Operators, Except Computer",16300,"15.70","32,660","2011","IA"
"130","IT Project Manager I","Office Machine Operators, Except Computer",19340,"14.03","29,180","2011","IA"
"131","IT Project Manager I","Office Machine Operators, Except Computer",19780,"15.14","31,500","2011","IA"
"132","IT Project Manager I","Office Machine Operators, Except Computer",14260,"12.04","25,050","2011","ID"
"133","IT Project Manager I","Office Machine Operators, Except Computer",17660,"11.38","23,670","2011","ID"
"134","IT Project Manager I","Office Machine Operators, Except Computer",14060,"15.34","31,910","2011","IL"
"135","IT Project Manager I","Office Machine Operators, Except Computer",16974,"14.47","30,100","2011","IL"
"136","IT Project Manager I","Office Machine Operators, Except Computer",29404,"14.62","30,400","2011","IL"
"137","IT Project Manager I","Office Machine Operators, Except Computer",44100,"18.46","38,410","2011","IL"
"138","IT Project Manager I","Office Machine Operators, Except Computer",23060,"13.47","28,010","2011","IN"
"139","IT Project Manager I","Office Machine Operators, Except Computer",23844,"10.95","22,770","2011","IN"
"140","IT Project Manager I","Office Machine Operators, Except Computer",26900,"14.44","30,030","2011","IN"
"141","IT Project Manager I","Office Machine Operators, Except Computer",11260,"16.43","34,180","2012","AK"
"142","IT Project Manager I","Office Machine Operators, Except Computer",13820,"15.03","31,250","2012","AL"
"143","IT Project Manager I","Office Machine Operators, Except Computer",26620,"11.12","23,140","2012","AL"
"144","IT Project Manager I","Office Machine Operators, Except Computer",33660,"10.77","22,410","2012","AL"
"145","IT Project Manager I","Office Machine Operators, Except Computer",33860,"11.95","24,860","2012","AL"
"146","IT Project Manager I","Office Machine Operators, Except Computer",22220,"14.45","30,060","2012","AR"
"147","IT Project Manager I","Office Machine Operators, Except Computer",22900,"14.53","30,230","2012","AR"
"148","IT Project Manager I","Office Machine Operators, Except Computer",26300,"11.99","24,940","2012","AR"
"149","IT Project Manager I","Office Machine Operators, Except Computer",30780,"14.12","29,360","2012","AR"
"150","IT Project Manager I","Office Machine Operators, Except Computer",38060,"14.34","29,830","2012","AZ"
"151","IT Project Manager I","Office Machine Operators, Except Computer",46060,"14.30","29,740","2012","AZ"
"152","IT Project Manager I","Office Machine Operators, Except Computer",12540,"14.30","29,740","2012","CA"
"153","IT Project Manager I","Office Machine Operators, Except Computer",23420,"15.01","31,220","2012","CA"
"154","IT Project Manager I","Office Machine Operators, Except Computer",31084,"15.70","32,650","2012","CA"
"155","IT Project Manager I","Office Machine Operators, Except Computer",32900,"13.00","27,030","2012","CA"
"156","IT Project Manager I","Office Machine Operators, Except Computer",33700,"12.48","25,970","2012","CA"
"157","IT Project Manager I","Office Machine Operators, Except Computer",36084,"15.42","32,080","2012","CA"
"158","IT Project Manager I","Office Machine Operators, Except Computer",37100,"16.40","34,120","2012","CA"
"159","IT Project Manager I","Office Machine Operators, Except Computer",40140,"17.25","35,870","2012","CA"
"160","IT Project Manager I","Office Machine Operators, Except Computer",40900,"15.58","32,410","2012","CA"
"161","IT Project Manager I","Office Machine Operators, Except Computer",41740,"15.18","31,570","2012","CA"
"162","IT Project Manager I","Office Machine Operators, Except Computer",41884,"15.30","31,820","2012","CA"
"163","IT Project Manager I","Office Machine Operators, Except Computer",41940,"15.10","31,410","2012","CA"
"164","IT Project Manager I","Office Machine Operators, Except Computer",42044,"15.48","32,200","2012","CA"
"165","IT Project Manager I","Office Machine Operators, Except Computer",42060,"17.49","36,380","2012","CA"
"166","IT Project Manager I","Office Machine Operators, Except Computer",42100,"17.41","36,200","2012","CA"
"167","IT Project Manager I","Office Machine Operators, Except Computer",42220,"14.92","31,040","2012","CA"
"168","IT Project Manager I","Office Machine Operators, Except Computer",44700,"13.52","28,120","2012","CA"
"169","IT Project Manager I","Office Machine Operators, Except Computer",46700,"16.11","33,510","2012","CA"
"170","IT Project Manager I","Office Machine Operators, Except Computer",14500,"13.61","28,310","2012","CO"
"171","IT Project Manager I","Office Machine Operators, Except Computer",17820,"13.82","28,740","2012","CO"
"172","IT Project Manager I","Office Machine Operators, Except Computer",19740,"14.61","30,400","2012","CO"
"173","IT Project Manager I","Office Machine Operators, Except Computer",22660,"14.86","30,910","2012","CO"
"174","IT Project Manager I","Office Machine Operators, Except Computer",71950,"18.50","38,480","2012","CT"
"175","IT Project Manager I","Office Machine Operators, Except Computer",73450,"16.42","34,160","2012","CT"
"176","IT Project Manager I","Office Machine Operators, Except Computer",75700,"17.74","36,900","2012","CT"
"177","IT Project Manager I","Office Machine Operators, Except Computer",47894,"17.05","35,470","2012","DC"
"178","IT Project Manager I","Office Machine Operators, Except Computer",48864,"13.95","29,010","2012","DE"
"179","IT Project Manager I","Office Machine Operators, Except Computer",15980,"10.71","22,280","2012","FL"
"180","IT Project Manager I","Office Machine Operators, Except Computer",19660,"12.82","26,660","2012","FL"
"181","IT Project Manager I","Office Machine Operators, Except Computer",22744,"12.78","26,590","2012","FL"
"182","IT Project Manager I","Office Machine Operators, Except Computer",27260,"12.76","26,540","2012","FL"
"183","IT Project Manager I","Office Machine Operators, Except Computer",29460,"13.42","27,910","2012","FL"
"184","IT Project Manager I","Office Machine Operators, Except Computer",33124,"13.16","27,380","2012","FL"
"185","IT Project Manager I","Office Machine Operators, Except Computer",35840,"12.74","26,500","2012","FL"
"186","IT Project Manager I","Office Machine Operators, Except Computer",36740,"12.80","26,620","2012","FL"
"187","IT Project Manager I","Office Machine Operators, Except Computer",37340,"11.58","24,090","2012","FL"
"188","IT Project Manager I","Office Machine Operators, Except Computer",37860,"12.32","25,620","2012","FL"
"189","IT Project Manager I","Office Machine Operators, Except Computer",45220,"12.19","25,350","2012","FL"
"190","IT Project Manager I","Office Machine Operators, Except Computer",45300,"12.69","26,400","2012","FL"
"191","IT Project Manager I","Office Machine Operators, Except Computer",48424,"14.60","30,360","2012","FL"
"192","IT Project Manager I","Office Machine Operators, Except Computer",12060,"13.83","28,770","2012","GA"
"193","IT Project Manager I","Office Machine Operators, Except Computer",12260,"15.60","32,440","2012","GA"
"194","IT Project Manager I","Office Machine Operators, Except Computer",17980,"12.98","26,990","2012","GA"
"195","IT Project Manager I","Office Machine Operators, Except Computer",31420,"11.45","23,820","2012","GA"
"196","IT Project Manager I","Office Machine Operators, Except Computer",26180,"18.58","38,650","2012","HI"
"197","IT Project Manager I","Office Machine Operators, Except Computer",11180,"14.96","31,110","2012","IA"
"198","IT Project Manager I","Office Machine Operators, Except Computer",16300,"14.00","29,130","2012","IA"
"199","IT Project Manager I","Office Machine Operators, Except Computer",19780,"15.04","31,280","2012","IA"
"200","IT Project Manager I","Office Machine Operators, Except Computer",26980,"13.31","27,690","2012","IA"
"201","IT Project Manager I","Office Machine Operators, Except Computer",47940,"14.27","29,690","2012","IA"
"202","IT Project Manager I","Office Machine Operators, Except Computer",14260,"12.77","26,570","2012","ID"
"203","IT Project Manager I","Office Machine Operators, Except Computer",14060,"17.65","36,710","2012","IL"
"204","IT Project Manager I","Office Machine Operators, Except Computer",16974,"15.50","32,230","2012","IL"
"205","IT Project Manager I","Office Machine Operators, Except Computer",29404,"14.99","31,170","2012","IL"
"206","IT Project Manager I","Office Machine Operators, Except Computer",37900,"14.84","30,860","2012","IL"
"207","IT Project Manager I","Office Machine Operators, Except Computer",44100,"16.57","34,470","2012","IL"
"208","IT Project Manager I","Office Machine Operators, Except Computer",23060,"13.20","27,460","2012","IN"
"209","IT Project Manager I","Office Machine Operators, Except Computer",23844,"11.77","24,470","2012","IN"
"210","IT Project Manager I","Office Machine Operators, Except Computer",26900,"14.07","29,270","2012","IN"
"211","IT Project Manager I","Office Machine Operators, Except Computer",34620,"16.67","34,670","2012","IN"
"212","IT Project Manager I","Office Machine Operators, Except Computer",43780,"11.80","24,530","2012","IN"
"213","IT Project Manager I","Office Machine Operators, Except Computer",11260,"20.02","41,640","2013","AK"
"214","IT Project Manager I","Office Machine Operators, Except Computer",13820,"12.14","25,250","2013","AL"
"215","IT Project Manager I","Office Machine Operators, Except Computer",26620,"11.53","23,990","2013","AL"
"216","IT Project Manager I","Office Machine Operators, Except Computer",33860,"11.29","23,480","2013","AL"
"217","IT Project Manager I","Office Machine Operators, Except Computer",46220,"12.16","25,300","2013","AL"
"218","IT Project Manager I","Office Machine Operators, Except Computer",22220,"14.76","30,700","2013","AR"
"219","IT Project Manager I","Office Machine Operators, Except Computer",22900,"13.77","28,630","2013","AR"
"220","IT Project Manager I","Office Machine Operators, Except Computer",30780,"14.32","29,780","2013","AR"
"221","IT Project Manager I","Office Machine Operators, Except Computer",38060,"13.82","28,750","2013","AZ"
"222","IT Project Manager I","Office Machine Operators, Except Computer",46060,"13.62","28,330","2013","AZ"
"223","IT Project Manager I","Office Machine Operators, Except Computer",12540,"13.97","29,060","2013","CA"
"224","IT Project Manager I","Office Machine Operators, Except Computer",23420,"13.76","28,610","2013","CA"
"225","IT Project Manager I","Office Machine Operators, Except Computer",31084,"15.85","32,960","2013","CA"
"226","IT Project Manager I","Office Machine Operators, Except Computer",32900,"12.63","26,260","2013","CA"
"227","IT Project Manager I","Office Machine Operators, Except Computer",33700,"13.97","29,060","2013","CA"
"228","IT Project Manager I","Office Machine Operators, Except Computer",36084,"15.48","32,200","2013","CA"
"229","IT Project Manager I","Office Machine Operators, Except Computer",37100,"16.33","33,970","2013","CA"
"230","IT Project Manager I","Office Machine Operators, Except Computer",40140,"16.42","34,150","2013","CA"
"231","IT Project Manager I","Office Machine Operators, Except Computer",40900,"15.43","32,090","2013","CA"
"232","IT Project Manager I","Office Machine Operators, Except Computer",41500,"13.67","28,440","2013","CA"
"233","IT Project Manager I","Office Machine Operators, Except Computer",41740,"14.32","29,790","2013","CA"
"234","IT Project Manager I","Office Machine Operators, Except Computer",41884,"15.55","32,340","2013","CA"
"235","IT Project Manager I","Office Machine Operators, Except Computer",41940,"15.73","32,720","2013","CA"
"236","IT Project Manager I","Office Machine Operators, Except Computer",42020,"14.51","30,180","2013","CA"
"237","IT Project Manager I","Office Machine Operators, Except Computer",42044,"15.71","32,680","2013","CA"
"238","IT Project Manager I","Office Machine Operators, Except Computer",42060,"15.63","32,520","2013","CA"
"239","IT Project Manager I","Office Machine Operators, Except Computer",42100,"18.89","39,300","2013","CA"
"240","IT Project Manager I","Office Machine Operators, Except Computer",42220,"17.86","37,150","2013","CA"
"241","IT Project Manager I","Office Machine Operators, Except Computer",44700,"12.91","26,860","2013","CA"
"242","IT Project Manager I","Office Machine Operators, Except Computer",46700,"15.41","32,040","2013","CA"
"243","IT Project Manager I","Office Machine Operators, Except Computer",14500,"17.67","36,750","2013","CO"
"244","IT Project Manager I","Office Machine Operators, Except Computer",17820,"13.30","27,670","2013","CO"
"245","IT Project Manager I","Office Machine Operators, Except Computer",19740,"14.99","31,180","2013","CO"
"246","IT Project Manager I","Office Machine Operators, Except Computer",22660,"14.67","30,520","2013","CO"
"247","IT Project Manager I","Office Machine Operators, Except Computer",71950,"17.57","36,550","2013","CT"
"248","IT Project Manager I","Office Machine Operators, Except Computer",73450,"16.65","34,640","2013","CT"
"249","IT Project Manager I","Office Machine Operators, Except Computer",75700,"18.15","37,750","2013","CT"
"250","IT Project Manager I","Office Machine Operators, Except Computer",47894,"17.42","36,230","2013","DC"
"251","IT Project Manager I","Office Machine Operators, Except Computer",48864,"13.95","29,020","2013","DE"
"252","IT Project Manager I","Office Machine Operators, Except Computer",15980,"9.82","20,420","2013","FL"
"253","IT Project Manager I","Office Machine Operators, Except Computer",22744,"12.40","25,800","2013","FL"
"254","IT Project Manager I","Office Machine Operators, Except Computer",27260,"13.20","27,450","2013","FL"
"255","IT Project Manager I","Office Machine Operators, Except Computer",29460,"15.13","31,460","2013","FL"
"256","IT Project Manager I","Office Machine Operators, Except Computer",33124,"13.51","28,100","2013","FL"
"257","IT Project Manager I","Office Machine Operators, Except Computer",35840,"13.66","28,410","2013","FL"
"258","IT Project Manager I","Office Machine Operators, Except Computer",36100,"12.36","25,720","2013","FL"
"259","IT Project Manager I","Office Machine Operators, Except Computer",36740,"12.32","25,630","2013","FL"
"260","IT Project Manager I","Office Machine Operators, Except Computer",37340,"12.27","25,510","2013","FL"
"261","IT Project Manager I","Office Machine Operators, Except Computer",37460,"12.71","26,440","2013","FL"
"262","IT Project Manager I","Office Machine Operators, Except Computer",37860,"12.72","26,460","2013","FL"
"263","IT Project Manager I","Office Machine Operators, Except Computer",38940,"13.28","27,620","2013","FL"
"264","IT Project Manager I","Office Machine Operators, Except Computer",45220,"10.33","21,490","2013","FL"
"265","IT Project Manager I","Office Machine Operators, Except Computer",45300,"12.94","26,920","2013","FL"
"266","IT Project Manager I","Office Machine Operators, Except Computer",48424,"15.88","33,040","2013","FL"
"267","IT Project Manager I","Office Machine Operators, Except Computer",12060,"14.68","30,540","2013","GA"
"268","IT Project Manager I","Office Machine Operators, Except Computer",12260,"14.09","29,310","2013","GA"
"269","IT Project Manager I","Office Machine Operators, Except Computer",17980,"13.73","28,550","2013","GA"
"270","IT Project Manager I","Office Machine Operators, Except Computer",23580,"14.23","29,600","2013","GA"
"271","IT Project Manager I","Office Machine Operators, Except Computer",31420,"11.14","23,180","2013","GA"
"272","IT Project Manager I","Office Machine Operators, Except Computer",26180,"17.28","35,940","2013","HI"
"273","IT Project Manager I","Office Machine Operators, Except Computer",11180,"12.99","27,030","2013","IA"
"274","IT Project Manager I","Office Machine Operators, Except Computer",16300,"11.82","24,590","2013","IA"
"275","IT Project Manager I","Office Machine Operators, Except Computer",19340,"11.92","24,800","2013","IA"
"276","IT Project Manager I","Office Machine Operators, Except Computer",19780,"14.90","30,990","2013","IA"
"277","IT Project Manager I","Office Machine Operators, Except Computer",26980,"14.52","30,210","2013","IA"
"278","IT Project Manager I","Office Machine Operators, Except Computer",47940,"13.83","28,760","2013","IA"
"279","IT Project Manager I","Office Machine Operators, Except Computer",14260,"13.25","27,550","2013","ID"
"280","IT Project Manager I","Office Machine Operators, Except Computer",14060,"18.58","38,650","2013","IL"
"281","IT Project Manager I","Office Machine Operators, Except Computer",16580,"13.24","27,540","2013","IL"
"282","IT Project Manager I","Office Machine Operators, Except Computer",29404,"15.76","32,790","2013","IL"
"283","IT Project Manager I","Office Machine Operators, Except Computer",37900,"14.73","30,650","2013","IL"
"284","IT Project Manager I","Office Machine Operators, Except Computer",44100,"18.37","38,210","2013","IL"
"285","IT Project Manager I","Office Machine Operators, Except Computer",23060,"12.69","26,390","2013","IN"
"286","IT Project Manager I","Office Machine Operators, Except Computer",23844,"12.03","25,010","2013","IN"
"287","IT Project Manager I","Office Machine Operators, Except Computer",26900,"14.00","29,120","2013","IN"
"288","IT Project Manager I","Office Machine Operators, Except Computer",34620,"16.80","34,940","2013","IN"
"289","IT Project Manager I","Office Machine Operators, Except Computer",43780,"10.68","22,220","2013","IN"
"290","IT Project Manager I","Office Machine Operators, Except Computer",11260,"19.93","41,460","2014","AK"
"291","IT Project Manager I","Office Machine Operators, Except Computer",13820,"13.46","28,010","2014","AL"
"292","IT Project Manager I","Office Machine Operators, Except Computer",33860,"11.92","24,800","2014","AL"
"293","IT Project Manager I","Office Machine Operators, Except Computer",46220,"12.21","25,410","2014","AL"
"294","IT Project Manager I","Office Machine Operators, Except Computer",22220,"12.75","26,530","2014","AR"
"295","IT Project Manager I","Office Machine Operators, Except Computer",30780,"12.58","26,160","2014","AR"
"296","IT Project Manager I","Office Machine Operators, Except Computer",38060,"14.61","30,380","2014","AZ"
"297","IT Project Manager I","Office Machine Operators, Except Computer",46060,"13.11","27,270","2014","AZ"
"298","IT Project Manager I","Office Machine Operators, Except Computer",12540,"12.99","27,030","2014","CA"
"299","IT Project Manager I","Office Machine Operators, Except Computer",23420,"15.92","33,120","2014","CA"
"300","IT Project Manager I","Office Machine Operators, Except Computer",31084,"16.11","33,500","2014","CA"
"301","IT Project Manager I","Office Machine Operators, Except Computer",33700,"13.54","28,150","2014","CA"
"302","IT Project Manager I","Office Machine Operators, Except Computer",34900,"12.51","26,020","2014","CA"
"303","IT Project Manager I","Office Machine Operators, Except Computer",36084,"16.65","34,640","2014","CA"
